source,title,description,published_at,url,sentiment_positive,sentiment_negative,sentiment_neutral,sentiment_compound,sentiment_label
GoogleNews,"LIC pivots to fintech, shelves health insurance plan to expand distribution - Moneycontrol.com","LIC pivots to fintech, shelves health insurance plan to expand distribution  Moneycontrol.com",2026-06-01 12:22:37,,0.167,0.0,0.833,0.5574,Positive
GoogleNews,LIC nominates Lalit Gupta as Gujarat State Financial Corp director - scanx.trade,LIC nominates Lalit Gupta as Gujarat State Financial Corp director  scanx.trade,2026-06-01 12:14:55,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,LIC shares extend fall on stake-sale buzz; insurance stock down 6% in three sessions - Fortune India,LIC shares extend fall on stake-sale buzz; insurance stock down 6% in three sessions  Fortune India,2026-06-01 08:38:23,,0.212,0.0,0.788,0.7003,Positive
GoogleNews,"LIC Eyes Fintech Foray, Weighs Organic Build & Partnership-Led Model - Inc42","LIC Eyes Fintech Foray, Weighs Organic Build & Partnership-Led Model  Inc42",2026-06-01 06:52:47,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,"LIC weighs foray into fintech space, strategic investment on table - The Times of India","LIC weighs foray into fintech space, strategic investment on table  The Times of India",2026-06-01 02:34:00,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,LIC Housing Finance - Negative Breakout: These 8 stocks cross below their 200 DMAs - The Economic Times,LIC Housing Finance - Negative Breakout: These 8 stocks cross below their 200 DMAs  The Economic Times,2026-06-01 02:05:40,,0.0,0.183,0.817,-0.8126,Negative
GoogleNews,"LIC reviews real estate strategy, explores dedicated subsidiary to improve asset returns - Prop News Time","LIC reviews real estate strategy, explores dedicated subsidiary to improve asset returns  Prop News Time",2026-06-01 00:33:24,,0.402,0.0,0.598,0.9413,Positive
GoogleNews,"LIC eying fintech foray, strategic investments, says CEO - MillenniumPost","LIC eying fintech foray, strategic investments, says CEO  MillenniumPost",2026-05-31 18:20:10,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,HC: No illegality in directing LIC employees to join census duty - The Times of India,HC: No illegality in directing LIC employees to join census duty  The Times of India,2026-05-31 17:32:00,,0.123,0.123,0.754,0.0,Neutral
GoogleNews,"LIC: All about bonus shares alloment date, dividend 2026 record date of insurance behemoth - Business Today","LIC: All about bonus shares alloment date, dividend 2026 record date of insurance behemoth  Business Today",2026-05-31 11:10:01,,0.282,0.0,0.718,0.886,Positive
